192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 71
192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 69
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 100
192.168.1.9 - - [10/Jul/2020:08:39:21 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:39:22 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:22 -0300] "GET /WebServlet/svProdutos?codigo=3 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:39:22 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:29 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 69
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 100
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:39:31 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "GET /WebServlet/svProdutos?codigo=3 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:39:31 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:33 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 91
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 207
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "GET /WebServlet/svEmpresa?cnpj=71.191.982/0001-94 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:34 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 207
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 89
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 100
192.168.1.9 - - [10/Jul/2020:08:39:35 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:39:36 -0300] "GET /WebServlet/svEmpresa?cnpj=71.191.982/0001-94 HTTP/1.1" 200 15773
