192.168.1.6 - - [18/Jun/2020:09:04:04 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:04:23 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:04:23 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:04:23 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:09:04:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:04:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:04:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:05:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:05:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:05:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:06:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:06:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:06:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:07:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:07:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:07:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:07:10 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:07:10 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:07:10 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:09:07:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:07:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:07:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:08:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:08:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:08:08 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:08:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:08:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:08:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:09:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:09:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:09:25 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:09:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:09:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:09:32 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:23 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:23 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:10:23 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:38 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:38 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:10:38 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:10:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:10:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:11:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:11:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:11:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:11:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:11:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:11:56 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:13:09 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:13:09 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:13:09 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
