0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:19 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:19 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:19 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:53 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:53 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:12:13 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:12:13 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:13:30 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:13:30 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:03 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:04 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:09 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:22 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:22 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:39 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:39 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:51 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:14:52 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:24 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:24 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:28 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:29 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:15:30 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3684
