0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:07 -0300] "POST /eRelation/servlet HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:07 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:07 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:08 -0300] "POST /eRelation/servlet HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:08 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:08 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:08 -0300] "POST /eRelation/servlet HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:08 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:09 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
